window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W2,A,520700,"港股通创新药ETF万家",收藏夹,trend2,65.94,4.61,0.00,0.72,2,true,
W2,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend,42.91,12.03,8.98,1.21,14,true,
W1,A,600519,"贵州茅台",A大盘,trend5,-17.99,-6.36,6.81,-1.16,4,true,
W2,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend2,42.91,-12.55,5.79,-1.89,16,true,
W1,A,600036,"招商银行",A大盘,trend5,3.91,1.32,1.09,0.25,6,true,
W2,A,520700,"港股通创新药ETF万家",收藏夹,trend3,65.94,40.33,12.70,2.12,4,true,
W1,A,600036,"招商银行",A大盘,trend6,3.91,1.32,1.09,0.25,6,true,
W1,A,600519,"贵州茅台",A大盘,trend6,-17.99,-4.95,5.73,-0.90,4,true,
W2,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend3,42.91,34.47,0.00,2.63,2,true,
W2,A,600519,"贵州茅台",A大盘,trend,-6.11,-1.85,2.59,-0.43,8,true,
W2,A,520700,"港股通创新药ETF万家",收藏夹,trend5,65.94,37.77,12.70,2.01,4,true,
W2,A,600036,"招商银行",A大盘,trend,-2.16,3.61,6.75,0.77,12,true,
W2,A,520700,"港股通创新药ETF万家",收藏夹,trend6,65.94,14.04,17.10,0.99,8,true,
W2,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend5,42.91,21.40,0.15,2.20,4,true,
W2,A,600519,"贵州茅台",A大盘,trend2,-6.11,-1.52,0.82,-0.60,6,true,
W2,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend6,42.91,12.61,1.27,1.49,6,true,
W2,A,600036,"招商银行",A大盘,trend2,-2.16,-1.80,1.80,-1.42,2,true,
W3,A,520700,"港股通创新药ETF万家",收藏夹,trend,-16.48,0.00,0.00,0.00,0,true,
W2,A,600036,"招商银行",A大盘,trend3,-2.16,1.96,0.00,0.48,2,true,
W2,A,600519,"贵州茅台",A大盘,trend3,-6.11,-2.54,1.81,-0.49,4,true,
W3,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend,-16.70,3.12,16.62,0.48,4,true,
W2,A,600519,"贵州茅台",A大盘,trend5,-6.11,-3.60,3.24,-1.01,4,true,
W3,A,520700,"港股通创新药ETF万家",收藏夹,trend2,-16.48,4.96,2.26,0.99,4,true,
W2,A,600036,"招商银行",A大盘,trend5,-2.16,0.54,0.00,0.16,2,true,
